identifier,asset_type,instruction,eligible_for_bounty,eligible_for_submission,availability_requirement,confidentiality_requirement,integrity_requirement,max_severity,system_tags,created_at,updated_at
comfortplaner.de.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-04 06:25:39 UTC,2025-09-04 06:25:39 UTC
explore.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-04 06:26:08 UTC,2025-09-04 06:26:08 UTC
pilot.genix.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-08 07:18:29 UTC,2025-09-08 07:18:29 UTC
de-s-0231473.de.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-04 06:25:40 UTC,2025-09-04 06:25:40 UTC
motors.equipmentmanagement.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-08 07:17:55 UTC,2025-09-08 07:17:55 UTC
glf2021.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-08 07:11:58 UTC,2025-09-08 07:11:58 UTC
library.e.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-08 07:17:37 UTC,2025-09-08 07:17:37 UTC
hr.inside.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-08 07:12:04 UTC,2025-09-08 07:12:04 UTC
projects.drives.abb.com.cn,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-08-18 07:13:05 UTC,2025-08-18 07:13:05 UTC
customer-service.wallbox.evcharging.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-04 06:25:40 UTC,2025-09-04 06:25:40 UTC
*.busch-jaeger.*,WILDCARD,,false,true,,,,critical,,2023-11-29 07:26:24 UTC,2025-07-14 07:25:19 UTC
lightning.icare.abb.com.cn,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-08-04 14:56:23 UTC,2025-08-04 14:56:23 UTC
function-getserviceactionform.drivetune.motion.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-04 06:26:09 UTC,2025-09-04 06:26:09 UTC
instr.us.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-08 07:17:35 UTC,2025-09-08 07:17:35 UTC
marine.uat.genix.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-08 07:17:38 UTC,2025-09-08 07:17:38 UTC
origin-9g0txghrin-rulestaging.drives-document-generator.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-08 07:17:58 UTC,2025-09-08 07:17:58 UTC
low-voltage-application.configurator.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-08 07:17:38 UTC,2025-09-08 07:17:38 UTC
abb.com.br,URL,,false,true,,,,critical,,2023-11-29 07:24:26 UTC,2023-11-29 07:24:26 UTC
bo.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-08-04 14:58:02 UTC,2025-08-04 14:58:02 UTC
controltouch.mybuildings.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-04 06:25:39 UTC,2025-09-04 06:25:39 UTC
mqtts-iot-ci02.abilityplatform02.abb.com.cn,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-08-04 14:56:24 UTC,2025-08-04 14:56:24 UTC
isservice.abb.com.cn,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-08-04 14:56:23 UTC,2025-08-04 14:56:23 UTC
distribution-automation-metrics.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-04 06:25:41 UTC,2025-09-04 06:25:41 UTC
electrical-distribution-control-system.abb.com.cn,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-08-04 14:56:22 UTC,2025-08-04 14:56:22 UTC
bolservices.it.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-08-04 14:58:02 UTC,2025-08-04 14:58:02 UTC
hydrogensizing.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-08 07:12:04 UTC,2025-09-08 07:12:04 UTC
bd.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-08-04 14:58:02 UTC,2025-08-04 14:58:02 UTC
aia.ability.pki.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-03-26 09:05:40 UTC,2025-03-26 09:05:40 UTC
apim.eu.mybuildings.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-03-26 09:08:13 UTC,2025-03-26 09:08:13 UTC
sensorfact.de,URL,,false,true,,,,critical,,2026-07-01 10:25:23 UTC,2026-07-01 10:25:23 UTC
cseprod.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-04 06:25:40 UTC,2025-09-04 06:25:40 UTC
cn-s-zevpxm1.cn.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-08-04 14:58:04 UTC,2025-08-04 14:58:04 UTC
printing-service.ch.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-08 07:18:30 UTC,2025-09-08 07:18:30 UTC
licensing.industrial-automation-service.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-08 07:17:37 UTC,2025-09-08 07:17:37 UTC
application-controller.robotics.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-03-26 09:08:13 UTC,2025-03-26 09:08:13 UTC
nl.shop.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-08 07:17:57 UTC,2025-09-08 07:17:57 UTC
